"","yuan_return","rupee_return","yen_return","franc_return","euro_return","pound_return"
"yuan_return",1,0.165601140563323,0.1260700581304,0.161492030230076,0.213443679704255,0.228166802786505
"rupee_return",0.165601140563323,1,0.000341357263119865,0.153936196606886,0.228217439716828,0.236109305998264
"yen_return",0.1260700581304,0.000341357263119865,1,0.412517766947189,0.31634866869665,0.193509498150796
"franc_return",0.161492030230076,0.153936196606886,0.412517766947189,1,0.786890232651056,0.510591138644455
"euro_return",0.213443679704255,0.228217439716828,0.31634866869665,0.786890232651056,1,0.645781892238662
"pound_return",0.228166802786505,0.236109305998264,0.193509498150796,0.510591138644455,0.645781892238662,1
