"date","rupee_per_yen","rupee_per_yuan","rupee_per_euro","rupee_per_pound","yen_per_euro","yen_per_pound","franc_per_euro","franc_per_pound"
1999-01-04,0.379848417298261,5.14536253064873,50.31912,70.63506,132.47158,185.955915,1.61422792,2.26595946
1999-01-05,0.382905982905983,5.14040702940999,50.05056,70.504896,130.7124,184.13109,1.6104144,2.26854804
1999-01-06,0.377283206242241,5.13919922700646,49.51118,70.407485,131.230808,186.617066,1.61181872,2.29209044
1999-01-07,0.38096517145671,5.13901301963816,49.66436,70.186225,130.364568,184.232655,1.61808936,2.28670185
1999-01-08,0.381545911047346,5.13913715638437,49.16227,69.803275,128.850208,182.94856,1.6140938,2.2917785
1999-01-11,0.390976752733621,5.13907508726162,49.07717,69.675625,125.524522,178.209125,1.61049242,2.28644125
1999-01-12,0.379673418399215,5.13919922700646,49.13674,69.39054,129.418436,182.763756,1.6040172,2.2651812
1999-01-13,0.374845760620483,5.13684566514482,49.751594,70.144729,132.725508,187.129578,1.5891733,2.24057405
1999-01-14,0.375717439293598,5.13950960260901,49.736695,70.33515,132.377925,187.20225,1.59180802,2.2510554
1999-01-15,0.372186706366582,5.13347022587269,49.26175,70.125,132.357629,188.4135,1.59781935,2.274525
1999-01-19,0.374033052039381,5.13969584596615,49.40055,70.42025,132.07536,188.2728,1.5966072,2.275956
1999-01-20,0.375055090348171,5.13944752448938,49.251625,70.067085,131.318375,186.818115,1.6091565,2.28924234
1999-01-21,0.373978021978022,5.13836379229125,49.248558,70.259064,131.688375,187.8695,1.60399335,2.2882918
1999-01-22,0.371129524640209,5.13969584596615,49.28141,70.4628,132.78763,189.8604,1.60167478,2.2900824
1999-01-25,0.37390158172232,5.1398821028218,49.21333,70.475565,131.62108,188.48694,1.59876818,2.28950349
1999-01-26,0.372884328685434,5.13650640251268,49.225404,70.51942,132.012531,189.118755,1.6057299,2.3003395
1999-01-27,0.367756443521882,5.13663050568992,48.817212,70.09422,132.743322,190.59957,1.60871772,2.3098782
1999-01-28,0.365675489859058,5.14025465703448,48.485725,70.07985,132.59222,191.64492,1.61410175,2.3329755
1999-01-29,0.366724137931034,5.13904660658629,48.372234,70.008078,131.9036,190.9012,1.61104328,2.33162776
1999-02-01,0.369710661221653,5.14044095439444,48.094265,69.82455,130.086227,188.86269,1.60864296,2.3354712
1999-02-02,0.37941491259365,5.13923286016309,48.189312,69.89322,127.009536,184.21316,1.59849408,2.3184373
1999-02-03,0.377912146540992,5.13433845559099,48.19075,69.59375,127.518394,184.15325,1.60276765,2.31460625
1999-02-04,0.379541194322949,5.13675461486421,48.073112,69.71154,126.661118,183.673185,1.6020602,2.3231715
1999-02-05,0.375640799010076,5.13433845559099,47.95275,69.5725,127.655862,185.21018,1.59913959,2.3201201
1999-02-08,0.37156845602378,5.13433845559099,48.008,69.615,129.203648,187.35444,1.601208,2.321865
1999-02-09,0.371438559692361,5.13433845559099,48.025,69.50875,129.2946,187.13391,1.602679,2.31962965
1999-02-10,0.370904325032765,5.12829805740795,48.100095,69.15105,129.683295,186.43905,1.59574473,2.2941207
1999-02-11,0.370619006102877,5.1355465352276,48.049053,69.053244,129.64541,186.31868,1.59982662,2.29917576
1999-02-12,0.372638208537439,5.14641925195709,48.06132,69.48486,128.975824,186.467352,1.59719274,2.30914827
1999-02-16,0.360010162601626,5.13486416949521,47.564439,69.363567,132.119712,192.671136,1.5989081,2.3316993
1999-02-17,0.357052843820885,5.13365625037747,47.7275,69.4365,133.67069,194.471214,1.5999381,2.32767486
1999-02-18,0.35478217325989,5.13486416949521,47.708973,69.452838,134.473986,195.761916,1.5992775,2.328165
1999-02-19,0.35099173553719,5.13003249302427,47.035525,69.034985,134.0075,196.6855,1.6016665,2.3507981
1999-02-22,0.352555047777316,5.12520081655332,46.829991,68.897834,132.830295,195.42433,1.59848871,2.35174954
1999-02-23,0.349773569370111,5.131240412142,46.698264,68.554224,133.509985,195.99601,1.59343535,2.3392031
1999-02-24,0.349466776045939,5.14573544155483,46.74072,68.0748,133.74868,194.7962,1.5931344,2.320296
1999-02-25,0.357202750293476,5.14561113191366,47.14968,68.4156,131.996968,191.53156,1.5877046,2.303807
1999-02-26,0.360825610783488,5.17333011233241,47.091585,68.643641,130.51065,190.24049,1.59372525,2.32311365
1999-03-01,0.355121462559479,5.13817760170065,46.330314,68.310732,130.463289,192.358782,1.5922642,2.3476796
1999-03-02,0.353448991450154,5.14319535203952,46.544198,68.70283,131.685757,194.378345,1.59395842,2.3528057
1999-03-03,0.349934253780408,5.14319535203952,46.361104,68.698572,132.485184,196.318512,1.5907368,2.3571774
1999-03-04,0.344534412955466,5.13994419144027,46.05612,68.356575,133.6764,198.40275,1.591128,2.361555
1999-03-05,0.34714856816513,5.1398821028218,46.136965,68.390615,132.902651,197.006761,1.59240298,2.36048078
1999-03-08,0.349626221966647,5.14096586379339,46.386144,68.45776,132.673527,195.802705,1.59256188,2.3503402
1999-03-09,0.350329489291598,5.13703180297375,46.242869,68.677444,131.99822,196.03672,1.59561275,2.369719
1999-03-10,0.354639519359146,5.13359424071121,46.58425,69.13475,131.356624,194.943728,1.59657926,2.36945122
1999-03-11,0.3552730618048,5.13111645266883,46.439136,69.11496,130.713924,194.54039,1.6053642,2.3892495
1999-03-12,0.357340953021262,5.13594801241711,46.499872,69.45642,130.127464,194.370165,1.59753088,2.3862168
1999-03-15,0.361087510620221,5.13353223254297,46.4525,68.94775,128.6461,190.94471,1.602338,2.3782918
1999-03-16,0.360964837778155,5.13353223254297,46.38875,69.02,128.51321,191.20976,1.60068475,2.381596
1999-03-17,0.359712230215827,5.13359424071121,46.81375,69.2835,130.142225,192.60813,1.59530245,2.36101866
1999-03-18,0.361609801752744,5.13359424071121,46.7075,69.2325,129.16547,191.45637,1.5972866,2.3675886
1999-03-19,0.363092695429304,5.13328421484908,46.42275,69.28775,127.853715,190.826615,1.5969426,2.3834986
1999-03-22,0.359742678178432,5.1333462170258,46.38875,69.19,128.94981,192.33192,1.597956,2.383392
1999-03-23,0.360108456193865,5.13316021498883,46.4015,69.581,128.854236,193.222344,1.59249948,2.38801992
1999-03-24,0.362164465274819,5.13309821730518,46.41425,69.7425,128.157935,192.57135,1.59173575,2.3917575
1999-03-25,0.36001694197374,5.13297422643059,46.20175,69.3345,128.332155,192.58677,1.59597151,2.39505834
1999-03-26,0.353283458021613,5.13285024154589,45.65775,68.87125,129.23829,194.94615,1.59479835,2.40563225
1999-03-29,0.354650192018701,5.13062067466212,45.521568,68.56272,128.356248,193.32492,1.59421932,2.4011478
1999-03-30,0.353871773522065,5.13285024154589,45.611,68.48875,128.89132,193.54115,1.5979948,2.3995235
1999-03-31,0.35886177488812,5.13285024154589,45.934,68.595,127.999144,191.14602,1.596882,2.384685
1999-04-01,0.353606789250354,5.13309821730518,45.8235,68.26775,129.588858,193.061197,1.5968142,2.3789303
1999-04-02,0.35240464344942,5.13322221417011,45.8235,68.09775,130.03092,193.23738,1.5968142,2.3730063
1999-04-05,0.348360655737705,5.13316021498883,45.5005,68.06375,130.6132,195.383,1.59647872,2.3881568
1999-04-06,0.354066589365579,5.16323055183159,46.33245,68.058,130.858012,192.21808,1.5958955,2.34422
1999-04-07,0.352315806823801,5.16323055183159,46.1016,68.293125,130.853056,193.84065,1.59678688,2.36541825
1999-04-08,0.353827058336781,5.16431357866641,46.33046,68.770908,130.940975,194.363055,1.5953454,2.36806092
1999-04-09,0.353290940622677,5.16685387151708,46.142508,68.738904,130.607674,194.567412,1.59977952,2.38320576
1999-04-12,0.35600133177959,5.16564609828859,46.371234,68.975179,130.255788,193.749778,1.6040739,2.38598965
1999-04-13,0.357380873042319,5.18134715025907,46.2462,69.21915,129.40312,193.68454,1.60622,2.404115
1999-04-14,0.360417192362688,5.17549580887504,46.188015,69.09134,128.151531,191.698236,1.60380741,2.39908996
1999-04-15,0.360383064516129,5.18184783002573,45.97593,69.08187,127.575168,191.690112,1.60465641,2.41110219
1999-04-16,0.362718479552011,5.16385422832087,45.6912,68.8788,125.968768,189.896032,1.60245184,2.41567216
1999-04-19,0.364013899483007,5.18801261067559,45.56136,69.042125,125.163792,189.668925,1.60148976,2.42684275
1999-04-20,0.363005584701303,5.18222340335576,45.6027,69.21915,125.62534,190.68343,1.6014095,2.43073775
1999-04-21,0.358216432865731,5.18222340335576,45.52548,68.95746,127.089312,192.502224,1.6002896,2.4239592
1999-04-22,0.357226301735648,5.17135160600606,45.370038,68.996877,127.006432,193.146128,1.5997681,2.43286115
1999-04-23,0.359299010565152,5.1761209895632,45.56669,69.28845,126.821084,192.84342,1.60265014,2.4369807
1999-04-26,0.3601108033241,5.18159747804766,45.4311,69.12477,126.15867,191.954169,1.6024788,2.43821916
1999-04-27,0.356899276386925,5.18274271082445,45.694859,69.415507,128.032927,194.496071,1.60640165,2.44030045
1999-04-28,0.3601108033241,5.18172265101279,45.54264,69.27492,126.468408,192.371124,1.60694392,2.44432276
1999-04-29,0.359382860976019,5.17670362586661,45.393026,69.02603,126.308266,192.06823,1.6087729,2.4463495
1999-04-30,0.358703843255463,5.17453798767967,45.256176,68.90814,126.165852,192.103155,1.61174948,2.45408845
1999-05-03,0.356667221574829,5.17574586302694,45.296735,68.915655,126.999994,193.221162,1.61228892,2.45297916
1999-05-04,0.353894493137093,5.16976893065504,45.33804,69.3788,128.111742,196.04374,1.6069581,2.459057
1999-05-05,0.353982300884956,5.16976893065504,45.89872,69.92236,129.663884,197.530667,1.605919,2.44646575
1999-05-06,0.354392647180591,5.16995627279975,46.13412,70.09356,130.177983,197.785029,1.6082268,2.4434484
1999-05-07,0.354363305182977,5.17014362852276,46.14268,69.978,130.212918,197.4753,1.6074471,2.437785
1999-05-10,0.35465694398409,5.16989382390955,46.16836,69.764,130.177516,196.7084,1.60672365,2.427885
1999-05-11,0.353835978835979,5.17020608344809,45.8816,69.4002,129.66912,196.13664,1.6077856,2.4319257
1999-05-12,0.354128744001324,5.17014362852276,45.65048,69.30604,128.909276,195.708598,1.6025665,2.43299825
1999-05-13,0.351771184351114,5.17045591823915,45.47928,69.2932,129.286542,196.98373,1.6024008,2.441452
1999-05-14,0.34923352902805,5.17370506378044,45.61395,69.277525,130.6116,198.3702,1.603677,2.4356315
1999-05-17,0.346880830696844,5.1651869299994,45.633472,69.241268,131.553744,199.611111,1.60218736,2.43105509
1999-05-18,0.34704641350211,5.16608286024882,45.644144,69.300231,131.521728,199.685772,1.6040016,2.4353109
1999-05-19,0.343913218159904,5.17014362852276,45.54348,69.229,132.427245,201.297875,1.6014705,2.4343375
1999-05-20,0.344744260974627,5.17033099782556,45.4964,69.00216,131.97145,200.15463,1.6033229,2.43168126
1999-05-21,0.3454398708636,5.17033099782556,45.26956,68.5656,131.04903,198.4878,1.60505975,2.431035
1999-05-24,0.34636238569232,5.17001872319865,45.33804,68.38584,130.897701,197.440146,1.60113195,2.4150747
1999-05-25,0.348307291666667,5.16976893065504,45.31236,68.56988,130.093056,196.866048,1.5933435,2.4111605
1999-05-26,0.351962632139638,5.18782461649958,44.972945,68.561085,127.777613,194.796489,1.5936862,2.4295686
1999-05-27,0.358291415848932,5.2483451707977,45.357455,69.333165,126.593753,193.510539,1.59351335,2.43583605
1999-05-28,0.357131039046989,5.21464982001788,44.991774,69.15834,125.981136,193.64976,1.5924816,2.447856
1999-06-01,0.356107660455487,5.19442867324628,44.9307,69.445,126.171675,195.01125,1.5913827,2.459645
1999-06-02,0.35496120191514,5.19405220626427,44.5351,69.1225,125.464698,194.73255,1.59135305,2.46992375
1999-06-03,0.353909465020576,5.1942404329339,44.5265,69.0365,125.81325,195.06825,1.59208125,2.46845625
1999-06-04,0.352487908844987,5.19442867324628,44.4061,69.1182,125.979073,196.086726,1.58880895,2.4729849
1999-06-07,0.354875937680323,5.20046870658726,44.32428,68.92305,124.900776,194.21731,1.588158,2.4695425
1999-06-08,0.359109109109109,5.20059435364042,44.93559,69.09525,125.130744,192.4074,1.591795,2.447625
1999-06-09,0.361325503355705,5.20307328034019,45.00815,68.916307,124.564,190.73192,1.593625,2.4401525
1999-06-10,0.363062684055532,5.21280065718738,45.208255,69.04863,124.519145,190.18377,1.5966948,2.4387048
1999-06-11,0.364482816996783,5.20192807180739,45.281896,69.26201,124.236024,190.02819,1.5979062,2.44411575
1999-06-14,0.35921926910299,5.22494442833672,45.0492,69.524375,125.40864,193.543,1.593648,2.459475
1999-06-15,0.360192323634254,5.24878897331513,45.2749,69.30275,125.69646,192.40485,1.595823,2.4427425
1999-06-16,0.359910022494376,5.21890403015367,44.48736,68.52384,123.606894,190.391586,1.59536616,2.45734104
1999-06-17,0.361597053653637,5.2189670794322,44.62128,68.796,123.400563,190.255975,1.59634695,2.46120875
1999-06-18,0.358233731739708,5.21419769492836,44.748288,68.727984,124.913664,191.852352,1.59791616,2.45420688
1999-06-21,0.353042198233562,5.21515378482206,44.564391,68.59713,126.229644,194.30292,1.59572934,2.4562762
1999-06-22,0.355851413543721,5.23066887329218,44.69859,68.82535,125.610264,193.41036,1.59541965,2.45657225
