"currency","mean_return","min_return","max_return","daily_volatility"
"Chinese Yuan",-2.79787187165034e-05,-0.0201866797698633,0.0181611362113119,0.00174653573394436
"Indian Rupee",0.000115977299993105,-0.0375596431869814,0.0393833280003753,0.00405401163215838
"Japanese Yen",5.13021439896566e-05,-0.0521564795943616,0.033428117764668,0.00631218910823991
"Swiss Franc",-8.10066122528887e-05,-0.130222452671466,0.0889068913314173,0.00639227946441728
"Euro",1.16691145889629e-06,-0.0462079220042712,0.030031007712162,0.0057746521525699
"British Pound",2.98284403156208e-05,-0.0443485762036134,0.0816938448253314,0.00581435342499811
