"date","yuan_return","rupee_return","yen_return","franc_return","euro_return","pound_return"
1999-01-05,2.41563398328815e-05,-0.000939408241936057,-0.00895662055601232,0.00204678434028455,0.00441202141119551,0.000905059343163206
1999-01-06,0,-0.000234990014005731,0.0145583779688305,0.0114718458413044,0.0106002018375257,0.00114758566636497
1999-01-07,3.6233415667386e-05,0,-0.00971184182630047,0.000793794016063554,-0.00308907058752944,0.00314751182916273
1999-01-08,-2.41554645707964e-05,0,-0.00152322954052142,0.00768875271263136,0.0101611138614108,0.00547113826747953
1999-01-11,1.20778052212778e-05,0,-0.0244169153042435,-0.000501199308812705,0.001732502165853,0.00183038489174947
1999-01-12,-2.41557563178674e-05,0,0.0293366443559657,-0.00524181719380534,-0.00121306660746787,0.00409999656430865
1999-01-13,-1.20780969750101e-05,-0.000470145753840967,0.0123266758344851,-0.0222029138879413,-0.0129056252201453,-0.0112802635090082
1999-01-14,-4.83138467579636e-05,0.000470145753840967,-0.00185258753527773,0.00242620418246375,0.000769658395200684,-0.00224086336691764
1999-01-15,0,-0.0011757790890119,0.00826596335041341,0.0121885974149853,0.00841929371902536,0.00181653092639789
1999-01-19,-3.62369169670806e-05,0.0011757790890119,-0.0037727616586265,-0.00239677639521202,-0.00163786080319228,-0.00302572091653697
1999-01-20,4.83155974917437e-05,0,-0.00272875482907953,0.0108484465977461,0.00301919573750242,0.00502772358720999
1999-01-21,-2.41575069463984e-05,-0.00023504524729212,0.00264084660520858,-0.00338653636335257,-0.000172771251293558,-0.00297122978798187
1999-01-22,-2.41580905453453e-05,0.00023504524729212,0.00788095147285439,-0.00187834183242036,-0.00043179758000661,-0.00266054093326984
1999-01-25,-3.62382301291042e-05,0,-0.00744148761168351,-0.000433965000301073,0.00138240906757139,-0.000181143012903728
1999-01-26,-4.83196830320942e-05,-0.000705301545635972,0.0020190499770365,0.00339436284451999,-0.000950611487564784,-0.00132738042899838
1999-01-27,-2.41607170914371e-05,0,0.0138473799850631,0.0101858710085002,0.00832687611191654,0.00604779587532139
1999-01-28,0,0.000705301545635972,0.00637988197267081,0.0108600279472396,0.00751883241402723,0.000910332334145281
1999-01-29,0,-0.00023504524729212,-0.0030986425206363,0.000211767198052493,0.00210840805506177,0.000789625576303299
1999-02-01,-3.62421701849414e-05,0.00023504524729212,-0.00787576012596514,0.0045070498830016,0.00599807743399165,0.00286001351124621
1999-02-02,0,-0.00023504524729212,-0.0261447046838121,-0.00853831528791044,-0.00220935974276985,-0.00121802694717721
1999-02-03,1.20808693395702e-05,-0.000940733841719776,0.00302787656746872,0.00169935606993005,-0.000970574038338695,0.00335315052786117
1999-02-04,0,0.000470477543375925,-0.00383091029342442,0.00247306255703544,0.00291455273660364,-0.001220628775296
1999-02-05,0,-0.000470477543375925,0.00985929734437807,0.000211692482179227,0.00203639009678989,0.00152601891356796
1999-02-08,0,0,0.0109002485721605,0.00014110342904744,-0.00115151259457706,-0.000610687041879665
1999-02-09,0,0,0.000349650353212994,0.000564214698654641,-0.000354044967408609,0.00152741743457607
1999-02-10,0,-0.00117716317301486,0.000262157558192477,-0.00707566809655708,-0.00273960668013468,0.00398223837639344
1999-02-11,0,0.00141242961334243,0.00218197773674955,0.0050288734376796,0.00247415518983536,0.00282781278990235
1999-02-12,0,0.00211491090462612,-0.00331849051371336,0.000211931758767159,0.0018596418908097,-0.00411611700784181
1999-02-16,0.000132879931098007,-0.00211491090462612,0.0323608272305504,0.00935079052941595,0.00827738249220038,-0.000367782277040041
1999-02-17,0,-0.000235266440327564,0.00801320132762573,-0.00301363370668151,-0.0036576159247677,-0.0012861738107442
1999-02-18,0,0.000235266440327564,0.00661505447599087,0.000210548479565031,0.000623524716232934,0
1999-02-19,0,-0.000941398045518849,0.00979992894096249,0.0147676130381005,0.0132749281029196,0.00509312916380888
1999-02-22,0,-0.000942285110946628,-0.00538638136766068,0.00145102806595915,0.00343705114045227,0.00104637931561391
1999-02-23,0,0.00117771771944986,0.00909849121910078,0.00082821455489962,0.00399455819402024,0.00617743501393986
1999-02-24,0,0.00282087634164174,0.00369838103904474,0.00172324702303117,0.00191213352136999,0.00983879908818625
1999-02-25,2.41580905453453e-05,0,-0.0218950527922663,-0.0121255599633218,-0.0087114888493228,-0.00499376818048713
1999-02-26,1.20788264217353e-05,0.0053845383519544,-0.00470668207933755,0.0104023129402906,0.00661743791795506,0.00205690850717744
1999-03-01,2.4157215157139e-05,-0.00679398185518831,0.00914090812761703,0.00858669194801359,0.00950386391317509,-0.00193236775105393
1999-03-02,-3.62360415788743e-05,0.000939849693242234,0.00566054953552175,-0.00260256293739392,-0.00366602921814899,-0.00478365774143286
1999-03-03,0,0,0.0099938886722768,0.00191833437836963,0.00394152396253337,6.19789891425637e-05
1999-03-04,-7.24760225474519e-05,-0.000704804445950113,0.0148465081169942,0.00614126802208242,0.00589537448067801,0.00428585394696068
1999-03-05,1.20797018730023e-05,0,-0.00755886071495837,-0.000952834755271914,-0.00175381962155798,-0.000497853019182037
1999-03-08,2.41589659975006e-05,0.000234990014005731,-0.0068768179315688,-0.00505155009638253,-0.00515133141712974,-0.000746315103985928
1999-03-09,6.03948616233474e-05,-0.000705135767846699,-0.00271459879610703,0.00430225678112406,0.00238838989156234,-0.00390904229970457
