"date","rupee_per_yen","rupee_per_yuan","rupee_per_euro","rupee_per_pound","yen_per_euro","yen_per_pound","franc_per_euro","franc_per_pound"
1999-01-04,100,100,100,100,100,100,100,100
1999-01-05,100.804943621845,99.9036899497515,99.4662863738475,99.8157232399888,98.6720321445551,99.0186787013471,99.7637557898267,100.114237701322
1999-01-06,99.3246750705807,99.880216338391,98.394367787036,99.6778158042196,99.0633674030309,100.355541796022,99.8507521787877,101.153197153845
1999-01-07,100.293999950399,99.8765974025591,98.6987848754112,99.3645719278783,98.4094611085638,99.0732964853525,100.23921281203,100.915391045875
1999-01-08,100.446887145446,99.8790099973077,97.7009733079592,98.8224190649799,97.2663027043234,98.3827591609549,99.9916913839528,101.139430799878
1999-01-11,102.929677979051,99.8778036853641,97.5318527033064,98.6417014440138,94.7558125297517,95.8340717475967,99.7685890602115,100.903890398816
1999-01-12,99.9539292804506,99.880216338391,97.6502371265634,98.2380987571894,97.6952460293747,98.2833786169157,99.3674548758889,99.9656542840356
1999-01-13,98.6829860412845,99.8344749188579,98.8721464127353,99.3058248977208,100.191684888185,100.631151205919,98.4478883254602,98.8797059061242
1999-01-14,98.9124667060494,99.8862484809408,98.8425373893661,99.5754091523388,99.9293018170388,100.670231436306,98.6111069123374,99.3422627252122
1999-01-15,97.9829556784323,99.7688733358398,97.8986715188978,99.2778940090091,99.913980794975,101.321595497513,98.9835035191313,100.378009410636
1999-01-19,98.469030014593,99.889868116215,98.1745110009873,99.6958875663162,99.7009018840117,101.245932402849,98.9084118926651,100.441161467205
1999-01-20,98.7380947947121,99.8850419941429,97.8785499428448,99.1959021483099,99.1294698832761,100.463658281588,99.6858299910957,101.027506467393
1999-01-21,98.4545426404581,99.863979684312,97.8724548442023,99.4676921064412,99.4087750746235,101.029053041954,99.3659773893639,100.985557791047
1999-01-22,97.7046389399049,99.889868116215,97.9377421544733,99.7561267733049,100.238579474933,102.099683142642,99.2223440169465,101.064579504878
1999-01-25,98.4344187562398,99.8934880138322,97.802445670751,99.7741985354016,99.3579754993486,101.361088729014,99.0422827031761,101.039031386731
1999-01-26,98.166613760731,99.8278813575663,97.8264405259869,99.8362852668349,99.6534735978842,101.70085474291,99.4735551346429,101.517239853885
1999-01-27,96.8166317863358,99.8302932999027,97.0152339707054,99.234317915211,100.20513230083,102.497180581752,99.6586479559838,101.938196193501
1999-01-28,96.2687938678248,99.9007285962102,96.356464500969,99.2139739104066,100.091068589957,103.059329949252,99.9921838794611,102.957512752677
1999-01-29,96.5448640116561,99.8772501641077,96.1309220034055,99.1123643131329,99.5712438849148,102.659385693647,99.8027143527538,102.898035077821
1999-02-01,97.3311048263107,99.904349281028,95.5785097195658,98.8525386684743,98.1993473619021,101.563152750479,99.654016639732,103.067651528064
1999-02-02,99.8858742896193,99.8808699980007,95.7673981579964,98.949756678907,95.8768182579237,99.0628128177585,99.0253024492353,102.315921397817
1999-02-03,99.4902517243481,99.785747360034,95.770255918625,98.5257887513651,96.2609444229471,99.0305955043162,99.2900463523143,102.146851735821
1999-02-04,99.9191195852553,99.8327053587917,95.5364720209733,98.6925472987494,95.6138048628996,98.7724348537125,99.2462204469862,102.524848348346
1999-02-05,98.892290161925,99.785747360034,95.2972746741199,98.4957045410594,96.3647161149584,99.5989721542335,99.065291226037,102.390185744982
1999-02-08,97.8201932935845,99.785747360034,95.4070738915943,98.5558729616709,97.5331071011609,100.75207341482,99.1934274064594,102.467190653093
1999-02-09,97.7859964072731,99.785747360034,95.4408582662018,98.4054519101421,97.6017648464674,100.633480790326,99.2845545627782,102.368541491912
1999-02-10,97.6453522357386,99.6683523631399,95.5900957727401,97.8990461677247,97.8951824987669,100.259811579535,98.8549826346703,101.24279540288
1999-02-11,97.5702383437504,99.8092263594129,95.4886591816391,97.7605795195757,97.8665839118096,100.195081183624,99.1078521303237,101.465882359608
1999-02-12,98.1018194541638,100.020537353822,95.5130375888927,98.3716301791207,97.3611275716648,100.27503131589,98.9446855807078,101.905983348881
