"date","yuan_rolling_vol","rupee_rolling_vol","yen_rolling_vol","franc_rolling_vol","euro_rolling_vol","pound_rolling_vol"
1999-03-31,2.75954241079347e-05,0.00176681618808052,0.00913173471239635,0.00649835039333221,0.0055355431109582,0.00423737711666395
1999-04-01,2.92701520588249e-05,0.0017662579626056,0.00945526401676839,0.00649880074481028,0.0055378725183833,0.00431087306570266
1999-04-02,2.97023383572545e-05,0.00175744075806622,0.00929992297800325,0.00598098904245665,0.00506084373336584,0.00424230997222889
1999-04-05,2.97446460768396e-05,0.00174797899163519,0.00948056527162967,0.00608231455627186,0.00516632067310396,0.00424096338775676
1999-04-06,2.99804626806787e-05,0.00203734599733856,0.00953502011783874,0.0065693919391641,0.00567032755084765,0.00423056496704528
1999-04-07,2.99804626806787e-05,0.00197694904775481,0.00955549154839231,0.0066304193146054,0.00572497135925107,0.00389645145772468
1999-04-08,2.9980395124975e-05,0.00197693224973165,0.00866971563885455,0.0062960929764703,0.00554517832433052,0.00398567732021802
1999-04-09,3.03721003065196e-05,0.00171190519620575,0.0086186220931853,0.00615838192847557,0.00548127741175527,0.00397046669223364
1999-04-12,3.01059101122813e-05,0.00114411154126221,0.00860148759857216,0.00600356204691367,0.00531549596966801,0.00401066577256494
1999-04-13,2.92326590777481e-05,0.0012510497960967,0.00853813190244002,0.00609602634550805,0.0053596766641286,0.0039148398057352
1999-04-14,3.01058142464714e-05,0.00127692221764106,0.00848806593339843,0.00610373505897942,0.00531947058503143,0.00391681429626798
1999-04-15,2.91402234106897e-05,0.00127635649385503,0.00797275651088692,0.00610869159209886,0.00531494739334307,0.0038419565506807
1999-04-16,2.94749683110351e-05,0.00145051549705111,0.008050277242503,0.00610274206201157,0.00531704268531286,0.00384220168002831
1999-04-19,2.91545781206829e-05,0.00166821377919739,0.00799147952367108,0.00610554744543985,0.00535712994915834,0.00386417900264409
1999-04-20,2.81806807339461e-05,0.00167987350965302,0.00799922426470619,0.00610159766608407,0.00537631447487989,0.00385788455190747
1999-04-21,2.74847696471042e-05,0.00167038375048313,0.00807042830941499,0.00589537256551193,0.00511340402329325,0.00365459395658147
1999-04-22,2.73593983953675e-05,0.00172240062905134,0.00806017520108345,0.00574607782114892,0.00510507738610058,0.00369623143761774
1999-04-23,2.74847825461007e-05,0.00172230194392893,0.00805994346230541,0.00564837511296395,0.00516323691822254,0.00367011691356803
1999-04-26,3.41239087507981e-05,0.0017243608734706,0.0077938920519803,0.00565652240228269,0.00519566853938863,0.0035118048754503
1999-04-27,3.41754655368754e-05,0.00172343028537046,0.0079572640847665,0.0057064612971063,0.00533315246511186,0.0035878473316096
1999-04-28,3.47978412989605e-05,0.00172544685214914,0.00813876010655835,0.00512529354358661,0.00500415518820221,0.00352090881818057
1999-04-29,3.53784896589252e-05,0.00173961536186452,0.00807210498958052,0.00512502067854858,0.00500479362514127,0.00354638847633878
1999-04-30,3.47977690056481e-05,0.00174429749346223,0.00802689390239599,0.00508753703002661,0.00492660610918246,0.00354257190123388
1999-05-03,3.4737480782462e-05,0.00174359234456124,0.00792601030924893,0.00509756376270971,0.00493690255549252,0.0035382986955161
1999-05-04,3.40746707115512e-05,0.00176282892950731,0.00799638900235962,0.00516456251261409,0.00496472800267433,0.00368979279813734
1999-05-05,3.39687075292107e-05,0.00176282892950731,0.00790485184303827,0.00577527427861454,0.00552483697262527,0.00395224102935338
1999-05-06,3.41042992471649e-05,0.00176282892950731,0.00785769913029823,0.00570550354301332,0.00556757897883926,0.00382689563168882
1999-05-07,3.41167508972178e-05,0.00176282892950731,0.00707318156396097,0.00534701611035907,0.00512155322171792,0.00362148985181007
1999-05-10,3.50839253901235e-05,0.00175842542343318,0.00702568806243391,0.00533721765383856,0.00509772767894775,0.00358622334299477
1999-05-11,3.56908774420982e-05,0.00175848969402295,0.00702181790467161,0.00548076683503066,0.00522468831098372,0.00371330201204227
