"currency","first_exchange_rate","last_exchange_rate","total_percent_change","average_daily_log_return","daily_volatility"
"Swiss Franc",1.3666,0.7848,-42.5728084296795,-8.10066122528887e-05,0.00639227946441728
"Japanese Yen",112.15,159.35,42.0864913062862,5.13021439896566e-05,0.00631218910823991
"British Pound",0.603099933659007,0.739754401538689,22.65867731913,2.98284403156208e-05,0.00581435342499811
"Euro",0.846596681341009,0.853387950162144,0.802184673152428,1.16691145889629e-06,0.0057746521525699
"Indian Rupee",42.6,94.25,121.244131455399,0.000115977299993105,0.00405401163215838
"Chinese Yuan",8.2793,6.8359,-17.4338410252074,-2.79787187165034e-05,0.00174653573394436
